id,gestion,mes,saldo_anterior,produccion,entregado,boil_off_gas,saldo_actual,created_at,updated_at
39,2019,marzo,774.86,149.65,471.12,63.64,389.75,1763040464030.087,1763040464030.087
93,2023,septiembre,422.77,1136.14,1129.82,13.03,416.06,1763040464030.087,1763040464030.087
89,2023,mayo,541.36,1304.3,1162.64,0.0,683.02,1763040464030.087,1763040464030.087
36,2018,diciembre,779.81,504.78,591.32,54.97,638.3,1763040464030.087,1763040464030.087
31,2018,julio,651.85,303.19,540.61,52.72,361.71,1763040464030.087,1763040464030.087
50,2020,febrero,705.18,513.06,631.78,44.59,541.87,1763040464030.087,1763040464030.087
102,2024,junio,714.68,1282.11,1193.56,0.0,803.23,1763040464030.087,1763040464030.087
14,2017,febrero,245.94,726.94,229.24,38.66,704.98,1763040464030.087,1763040464030.087
66,2021,junio,237.99,1271.5,963.12,0.0,546.37,1763040464030.087,1763040464030.087
109,2025,enero,688.38,1267.49,1268.41,0.0,687.46,1763040464030.087,1763040464030.087
13,2017,enero,500.26,74.37,237.68,91.01,245.94,1763040464030.087,1763040464030.087
111,2025,marzo,643.61,1320.49,1203.59,0.0,760.51,1763040464030.087,1763040464030.087
2,2016,febrero,0.0,1458.05,31.5,605.6,820.95,1763040464030.087,1763040464030.087
16,2017,abril,223.77,0.0,49.18,43.81,130.79,1763040464030.087,1763040464030.087
62,2021,febrero,380.53,1019.3,644.72,7.68,747.43,1763040464030.087,1763040464030.087
75,2022,marzo,500.43,660.56,893.62,52.07,215.3,1763040464030.087,1763040464030.087
99,2024,marzo,849.99,918.87,1151.58,28.27,589.01,1763040464030.087,1763040464030.087
41,2019,mayo,865.79,134.27,665.37,69.36,265.33,1763040464030.087,1763040464030.087
46,2019,octubre,681.96,532.68,555.69,37.14,621.81,1763040464030.087,1763040464030.087
53,2020,mayo,566.51,770.96,534.59,34.13,768.75,1763040464030.087,1763040464030.087
32,2018,agosto,361.71,967.77,580.63,2.63,746.22,1763040464030.087,1763040464030.087
7,2016,julio,480.62,247.04,57.63,114.72,555.31,1763040464030.087,1763040464030.087
100,2024,abril,589.01,1220.69,1275.05,11.57,523.08,1763040464030.087,1763040464030.087
