gobierno,gestion,mes,mes_abrev,mes_str,fecha,tipo_regalias_2,tipo_regalia,region,monto
IDH,2006,6,Jun,06-Jun,1149120000000.0,IDH,IDH,IDH,55.12469797
Tarija,2019,6,Jun,06-Jun,1559347200000.0,Regalia,Regalia Departamental,Gran Chaco,5.22998727
IDH,2006,10,Oct,10-Oct,1159660800000.0,IDH,IDH,IDH,64.08710497
IDH,2012,2,Feb,02-Feb,1328054400000.0,IDH,IDH,IDH,132.195184
Tarija,2010,6,Jun,06-Jun,1275350400000.0,Regalia,Regalia Departamental,Tarija,10.7946428
Tarija,2024,8,Ago,08-Ago,1722470400000.0,Regalia,Regalia Departamental,Tarija,4.26507781
Tarija,2024,9,Sep,09-Sep,1725148800000.0,Regalia,Regalia Departamental,Gran Chaco,3.25787547
Tarija,2009,11,Nov,11-Nov,1257033600000.0,Regalia,Regalia Departamental,Gran Chaco,13.91427387
Cochabamba,2009,4,Abr,04-Abr,1238544000000.0,Regalia,Regalia Departamental,Cochabamba,3.00428606
Santa Cruz,2007,3,Mar,03-Mar,1172707200000.0,Regalia,Regalia Departamental,Santa Cruz,2.99747462
Chuquisaca,2016,12,Dic,12-Dic,1480550400000.0,Regalia,Regalia Departamental,Chuquisaca,2.77796552
IDH,2010,12,Dic,12-Dic,1291161600000.0,IDH,IDH,IDH,97.070489
Beni,2017,7,Jul,07-Jul,1498867200000.0,Regalia,Regalia Compensatoria,Beni,1.86845633
Beni,2009,11,Nov,11-Nov,1257033600000.0,Regalia,Regalia Compensatoria,Beni,1.309767
Chuquisaca,2018,2,Feb,02-Feb,1517443200000.0,Regalia,Regalia Departamental,Chuquisaca,3.31225676
Pando,2020,11,Nov,11-Nov,1604188800000.0,Regalia,Regalia Compensatoria,Pando,0.64029006
Beni,2024,11,Nov,11-Nov,1730419200000.0,Regalia,Regalia Compensatoria,Beni,1.10935449
IDH,2017,12,Dic,12-Dic,1512086400000.0,IDH,IDH,IDH,86.913529
Pando,2011,5,May,05-May,1304208000000.0,Regalia,Regalia Compensatoria,Pando,0.934916
IDH,2022,1,Ene,01-Ene,1640995200000.0,IDH,IDH,IDH,74.350212
Tarija,2017,8,Ago,08-Ago,1501545600000.0,Regalia,Regalia Departamental,Gran Chaco,7.6520049
Tarija,2011,5,May,05-May,1304208000000.0,Regalia,Regalia Departamental,Tarija,11.31503275
Tarija,2022,8,Ago,08-Ago,1659312000000.0,Regalia,Regalia Departamental,Tarija,7.37274058
Cochabamba,2019,5,May,05-May,1556668800000.0,Regalia,Regalia Departamental,Cochabamba,1.00006011
TGN,2011,5,May,05-May,1304208000000.0,Participacion,Participacion TGN,TGN,16.82848802
Tarija,2008,9,Sep,09-Sep,1220227200000.0,Regalia,Regalia Departamental,Tarija,20.276483
Tarija,2020,5,May,05-May,1588291200000.0,Regalia,Regalia Departamental,Gran Chaco,5.28726433
IDH,2021,6,Jun,06-Jun,1622505600000.0,IDH,IDH,IDH,65.576577
Cochabamba,2009,5,May,05-May,1241136000000.0,Regalia,Regalia Departamental,Cochabamba,2.67228855
Pando,2006,3,Mar,03-Mar,1141171200000.0,Regalia,Regalia Compensatoria,Pando,0.48886576
Santa Cruz,2013,5,May,05-May,1367366400000.0,Regalia,Regalia Departamental,Santa Cruz,10.74242801
TGN,2025,4,Abr,04-Abr,1743465600000.0,Participacion,Participacion TGN,TGN,7.09144098
Pando,2012,3,Mar,03-Mar,1330560000000.0,Regalia,Regalia Compensatoria,Pando,1.38004676
Chuquisaca,2008,11,Nov,11-Nov,1225497600000.0,Regalia,Regalia Departamental,Chuquisaca,2.09717126
Beni,2007,4,Abr,04-Abr,1175385600000.0,Regalia,Regalia Compensatoria,Beni,0.99723295
TGN,2020,3,Mar,03-Mar,1583020800000.0,Participacion,Participacion TGN,TGN,14.40845554
Pando,2008,10,Oct,10-Oct,1222819200000.0,Regalia,Regalia Compensatoria,Pando,1.11505865
Beni,2020,7,Jul,07-Jul,1593561600000.0,Regalia,Regalia Compensatoria,Beni,0.87927613
Tarija,2008,7,Jul,07-Jul,1214870400000.0,Regalia,Regalia Departamental,Tarija,0.0
Tarija,2013,2,Feb,02-Feb,1359676800000.0,Regalia,Regalia Departamental,Gran Chaco,17.66679558
Beni,2016,3,Mar,03-Mar,1456790400000.0,Regalia,Regalia Compensatoria,Beni,2.45865747
Pando,2006,12,Dic,12-Dic,1164931200000.0,Regalia,Regalia Compensatoria,Pando,0.66158344
Tarija,2007,5,May,05-May,1177977600000.0,Regalia,Regalia Departamental,Gran Chaco,
Tarija,2015,3,Mar,03-Mar,1425168000000.0,Regalia,Regalia Departamental,Tarija,20.52122154
Pando,2014,2,Feb,02-Feb,1391212800000.0,Regalia,Regalia Compensatoria,Pando,2.01864018
Tarija,2025,5,May,05-May,1746057600000.0,Regalia,Regalia Departamental,Gran Chaco,2.3370611
Tarija,2006,12,Dic,12-Dic,1164931200000.0,Regalia,Regalia Departamental,Tarija,15.36043806
Pando,2020,7,Jul,07-Jul,1593561600000.0,Regalia,Regalia Compensatoria,Pando,0.43963807
Pando,2023,1,Ene,01-Ene,1672531200000.0,Regalia,Regalia Compensatoria,Pando,0.86561989
Tarija,2024,11,Nov,11-Nov,1730419200000.0,Regalia,Regalia Departamental,Gran Chaco,3.38204262
Tarija,2021,3,Mar,03-Mar,1614556800000.0,Regalia,Regalia Departamental,Tarija,5.11986771
Santa Cruz,2020,6,Jun,06-Jun,1590969600000.0,Regalia,Regalia Departamental,Santa Cruz,8.37521136
IDH,2021,9,Sep,09-Sep,1630454400000.0,IDH,IDH,IDH,69.805292
Tarija,2023,8,Ago,08-Ago,1690848000000.0,Regalia,Regalia Departamental,Tarija,4.94366703
Beni,2016,11,Nov,11-Nov,1477958400000.0,Regalia,Regalia Compensatoria,Beni,1.39683093
Tarija,2018,2,Feb,02-Feb,1517443200000.0,Regalia,Regalia Departamental,Gran Chaco,6.63645159
Cochabamba,2017,10,Oct,10-Oct,1506816000000.0,Regalia,Regalia Departamental,Cochabamba,1.00458877
IDH,2014,5,May,05-May,1398902400000.0,IDH,IDH,IDH,182.639455
Beni,2025,5,May,05-May,1746057600000.0,Regalia,Regalia Compensatoria,Beni,0.74694092
TGN,2008,10,Oct,10-Oct,1222819200000.0,Participacion,Participacion TGN,TGN,20.07105566
Santa Cruz,2016,6,Jun,06-Jun,1464739200000.0,Regalia,Regalia Departamental,Santa Cruz,2.33708029
Beni,2012,8,Ago,08-Ago,1343779200000.0,Regalia,Regalia Compensatoria,Beni,4.0699805
IDH,2010,10,Oct,10-Oct,1285891200000.0,IDH,IDH,IDH,100.283656
Santa Cruz,2011,5,May,05-May,1304208000000.0,Regalia,Regalia Departamental,Santa Cruz,6.19348062
TGN,2021,7,Jul,07-Jul,1625097600000.0,Participacion,Participacion TGN,TGN,12.50778001
Tarija,2016,5,May,05-May,1462060800000.0,Regalia,Regalia Departamental,Tarija,8.49523103
TGN,2024,11,Nov,11-Nov,1730419200000.0,Participacion,Participacion TGN,TGN,9.98419041
Pando,2024,10,Oct,10-Oct,1727740800000.0,Regalia,Regalia Compensatoria,Pando,0.57208461
Tarija,2016,6,Jun,06-Jun,1464739200000.0,Regalia,Regalia Departamental,Gran Chaco,4.21912752
Chuquisaca,2015,8,Ago,08-Ago,1438387200000.0,Regalia,Regalia Departamental,Chuquisaca,3.20761017
La Paz,2025,1,Ene,01-Ene,1735689600000.0,Regalia,Regalia Departamental,La Paz,0.00041439
Tarija,2010,10,Oct,10-Oct,1285891200000.0,Regalia,Regalia Departamental,Tarija,12.94059978
Tarija,2019,7,Jul,07-Jul,1561939200000.0,Regalia,Regalia Departamental,Gran Chaco,4.86649611
Tarija,2025,1,Ene,01-Ene,1735689600000.0,Regalia,Regalia Departamental,Gran Chaco,2.74191664
Cochabamba,2009,1,Ene,01-Ene,1230768000000.0,Regalia,Regalia Departamental,Cochabamba,4.22599379
Tarija,2013,4,Abr,04-Abr,1364774400000.0,Regalia,Regalia Departamental,Gran Chaco,13.61374866
Santa Cruz,2009,5,May,05-May,1241136000000.0,Regalia,Regalia Departamental,Santa Cruz,3.84587224
Tarija,2022,7,Jul,07-Jul,1656633600000.0,Regalia,Regalia Departamental,Gran Chaco,5.70038266
Beni,2016,5,May,05-May,1462060800000.0,Regalia,Regalia Compensatoria,Beni,1.37407941
Pando,2010,11,Nov,11-Nov,1288569600000.0,Regalia,Regalia Compensatoria,Pando,1.04982231
Beni,2015,9,Sep,09-Sep,1441065600000.0,Regalia,Regalia Compensatoria,Beni,2.73339519
IDH,2008,8,Ago,08-Ago,1217548800000.0,IDH,IDH,IDH,91.58772172
Tarija,2020,3,Mar,03-Mar,1583020800000.0,Regalia,Regalia Departamental,Tarija,7.37077683
Chuquisaca,2024,6,Jun,06-Jun,1717200000000.0,Regalia,Regalia Departamental,Chuquisaca,3.29587815
Pando,2014,8,Ago,08-Ago,1406851200000.0,Regalia,Regalia Compensatoria,Pando,2.10920407
Santa Cruz,2022,8,Ago,08-Ago,1659312000000.0,Regalia,Regalia Departamental,Santa Cruz,13.40274637
Tarija,2019,11,Nov,11-Nov,1572566400000.0,Regalia,Regalia Departamental,Tarija,8.1529929
Tarija,2012,8,Ago,08-Ago,1343779200000.0,Regalia,Regalia Departamental,Gran Chaco,20.20577472
Tarija,2009,3,Mar,03-Mar,1235865600000.0,Regalia,Regalia Departamental,Gran Chaco,
Beni,2024,10,Oct,10-Oct,1727740800000.0,Regalia,Regalia Compensatoria,Beni,1.14416922
Tarija,2025,10,Oct,10-Oct,1759276800000.0,Regalia,Regalia Departamental,Tarija,3.20002084
TGN,2024,10,Oct,10-Oct,1727740800000.0,Participacion,Participacion TGN,TGN,10.29752301
TGN,2006,4,Abr,04-Abr,1143849600000.0,Participacion,Participacion TGN,TGN,9.46545493
TGN,2016,9,Sep,09-Sep,1472688000000.0,Participacion,Participacion TGN,TGN,11.51813769
Cochabamba,2025,8,Ago,08-Ago,1754006400000.0,Regalia,Regalia Departamental,Cochabamba,0.3876734
TGN,2012,1,Ene,01-Ene,1325376000000.0,Participacion,Participacion TGN,TGN,34.26192583
Beni,2007,2,Feb,02-Feb,1170288000000.0,Regalia,Regalia Compensatoria,Beni,1.4009071
IDH,2013,4,Abr,04-Abr,1364774400000.0,IDH,IDH,IDH,180.285536
Cochabamba,2023,2,Feb,02-Feb,1675209600000.0,Regalia,Regalia Departamental,Cochabamba,0.49005512
Pando,2016,11,Nov,11-Nov,1477958400000.0,Regalia,Regalia Compensatoria,Pando,0.69841546
Chuquisaca,2012,3,Mar,03-Mar,1330560000000.0,Regalia,Regalia Departamental,Chuquisaca,1.80229501
Pando,2015,9,Sep,09-Sep,1441065600000.0,Regalia,Regalia Compensatoria,Pando,1.36669759
Pando,2025,10,Oct,10-Oct,1759276800000.0,Regalia,Regalia Compensatoria,Pando,0.41426801
Cochabamba,2018,11,Nov,11-Nov,1541030400000.0,Regalia,Regalia Departamental,Cochabamba,1.10269445
IDH,2017,6,Jun,06-Jun,1496275200000.0,IDH,IDH,IDH,78.720628
La Paz,2024,11,Nov,11-Nov,1730419200000.0,Regalia,Regalia Departamental,La Paz,0.00036483
IDH,2015,4,Abr,04-Abr,1427846400000.0,IDH,IDH,IDH,144.507868
Cochabamba,2009,7,Jul,07-Jul,1246406400000.0,Regalia,Regalia Departamental,Cochabamba,2.10436744
Cochabamba,2025,6,Jun,06-Jun,1748736000000.0,Regalia,Regalia Departamental,Cochabamba,0.37749205
Chuquisaca,2023,12,Dic,12-Dic,1701388800000.0,Regalia,Regalia Departamental,Chuquisaca,3.30521841
TGN,2012,9,Sep,09-Sep,1346457600000.0,Participacion,Participacion TGN,TGN,31.8963707
Chuquisaca,2014,8,Ago,08-Ago,1406851200000.0,Regalia,Regalia Departamental,Chuquisaca,8.0452703
IDH,2015,10,Oct,10-Oct,1443657600000.0,IDH,IDH,IDH,112.753071
Cochabamba,2008,10,Oct,10-Oct,1222819200000.0,Regalia,Regalia Departamental,Cochabamba,4.12274503
Santa Cruz,2016,4,Abr,04-Abr,1459468800000.0,Regalia,Regalia Departamental,Santa Cruz,4.1829387
Santa Cruz,2021,3,Mar,03-Mar,1614556800000.0,Regalia,Regalia Departamental,Santa Cruz,7.7937679
IDH,2006,8,Ago,08-Ago,1154390400000.0,IDH,IDH,IDH,65.01894337
Santa Cruz,2018,8,Ago,08-Ago,1533081600000.0,Regalia,Regalia Departamental,Santa Cruz,10.50313967
Cochabamba,2014,4,Abr,04-Abr,1396310400000.0,Regalia,Regalia Departamental,Cochabamba,2.71668675
Tarija,2020,8,Ago,08-Ago,1596240000000.0,Regalia,Regalia Departamental,Gran Chaco,3.93253635
Cochabamba,2018,2,Feb,02-Feb,1517443200000.0,Regalia,Regalia Departamental,Cochabamba,0.93468884
Tarija,2023,3,Mar,03-Mar,1677628800000.0,Regalia,Regalia Departamental,Tarija,6.23456834
Santa Cruz,2011,11,Nov,11-Nov,1320105600000.0,Regalia,Regalia Departamental,Santa Cruz,7.70524836
Tarija,2014,5,May,05-May,1398902400000.0,Regalia,Regalia Departamental,Tarija,21.38664513
Tarija,2006,5,May,05-May,1146441600000.0,Regalia,Regalia Departamental,Gran Chaco,
TGN,2022,3,Mar,03-Mar,1646092800000.0,Participacion,Participacion TGN,TGN,14.09428777
Pando,2017,4,Abr,04-Abr,1491004800000.0,Regalia,Regalia Compensatoria,Pando,0.61557769
Beni,2023,9,Sep,09-Sep,1693526400000.0,Regalia,Regalia Compensatoria,Beni,1.31239853
Pando,2017,3,Mar,03-Mar,1488326400000.0,Regalia,Regalia Compensatoria,Pando,0.56846546
Santa Cruz,2025,3,Mar,03-Mar,1740787200000.0,Regalia,Regalia Departamental,Santa Cruz,5.99436813
TGN,2006,8,Ago,08-Ago,1154390400000.0,Participacion,Participacion TGN,TGN,10.77523918
Santa Cruz,2007,10,Oct,10-Oct,1191196800000.0,Regalia,Regalia Departamental,Santa Cruz,3.13760755
Beni,2008,1,Ene,01-Ene,1199145600000.0,Regalia,Regalia Compensatoria,Beni,1.54001663
Chuquisaca,2013,2,Feb,02-Feb,1359676800000.0,Regalia,Regalia Departamental,Chuquisaca,4.33529836
Cochabamba,2009,2,Feb,02-Feb,1233446400000.0,Regalia,Regalia Departamental,Cochabamba,4.04002546
Beni,2015,4,Abr,04-Abr,1427846400000.0,Regalia,Regalia Compensatoria,Beni,3.01150105
Beni,2011,9,Sep,09-Sep,1314835200000.0,Regalia,Regalia Compensatoria,Beni,2.09378019
Tarija,2020,4,Abr,04-Abr,1585699200000.0,Regalia,Regalia Departamental,Tarija,8.66390629
Pando,2008,8,Ago,08-Ago,1217548800000.0,Regalia,Regalia Compensatoria,Pando,1.3449443
Beni,2020,2,Feb,02-Feb,1580515200000.0,Regalia,Regalia Compensatoria,Beni,2.11273051
Beni,2018,7,Jul,07-Jul,1530403200000.0,Regalia,Regalia Compensatoria,Beni,1.83642419
Chuquisaca,2006,2,Feb,02-Feb,1138752000000.0,Regalia,Regalia Departamental,Chuquisaca,0.49963511
TGN,2009,3,Mar,03-Mar,1235865600000.0,Participacion,Participacion TGN,TGN,20.47937856
Santa Cruz,2013,10,Oct,10-Oct,1380585600000.0,Regalia,Regalia Departamental,Santa Cruz,12.54648412
IDH,2008,12,Dic,12-Dic,1228089600000.0,IDH,IDH,IDH,97.220713
IDH,2024,11,Nov,11-Nov,1730419200000.0,IDH,IDH,IDH,53.249015
Pando,2009,1,Ene,01-Ene,1230768000000.0,Regalia,Regalia Compensatoria,Pando,1.19904508
TGN,2022,4,Abr,04-Abr,1648771200000.0,Participacion,Participacion TGN,TGN,15.64719859
Santa Cruz,2009,3,Mar,03-Mar,1235865600000.0,Regalia,Regalia Departamental,Santa Cruz,6.0500298
Beni,2025,7,Jul,07-Jul,1751328000000.0,Regalia,Regalia Compensatoria,Beni,0.71356211
Chuquisaca,2024,7,Jul,07-Jul,1719792000000.0,Regalia,Regalia Departamental,Chuquisaca,2.89663657
Santa Cruz,2020,1,Ene,01-Ene,1577836800000.0,Regalia,Regalia Departamental,Santa Cruz,11.95297269
Santa Cruz,2018,9,Sep,09-Sep,1535760000000.0,Regalia,Regalia Departamental,Santa Cruz,10.32954393
Pando,2021,11,Nov,11-Nov,1635724800000.0,Regalia,Regalia Compensatoria,Pando,0.77422598
Tarija,2014,7,Jul,07-Jul,1404172800000.0,Regalia,Regalia Departamental,Tarija,24.65647832
Pando,2018,1,Ene,01-Ene,1514764800000.0,Regalia,Regalia Compensatoria,Pando,0.93841175
Cochabamba,2009,12,Dic,12-Dic,1259625600000.0,Regalia,Regalia Departamental,Cochabamba,2.00444295
Tarija,2006,12,Dic,12-Dic,1164931200000.0,Regalia,Regalia Departamental,Gran Chaco,
TGN,2007,10,Oct,10-Oct,1191196800000.0,Participacion,Participacion TGN,TGN,11.47829894
Cochabamba,2014,2,Feb,02-Feb,1391212800000.0,Regalia,Regalia Departamental,Cochabamba,3.09556267
Tarija,2018,8,Ago,08-Ago,1533081600000.0,Regalia,Regalia Departamental,Tarija,9.87813033
Tarija,2008,12,Dic,12-Dic,1228089600000.0,Regalia,Regalia Departamental,Tarija,22.74623977
TGN,2019,9,Sep,09-Sep,1567296000000.0,Participacion,Participacion TGN,TGN,15.18312927
Tarija,2019,3,Mar,03-Mar,1551398400000.0,Regalia,Regalia Departamental,Gran Chaco,4.70057888
Pando,2015,8,Ago,08-Ago,1438387200000.0,Regalia,Regalia Compensatoria,Pando,0.89726273
Tarija,2011,5,May,05-May,1304208000000.0,Regalia,Regalia Departamental,Gran Chaco,9.25775406
IDH,2006,9,Sep,09-Sep,1157068800000.0,IDH,IDH,IDH,68.99899413
Tarija,2013,7,Jul,07-Jul,1372636800000.0,Regalia,Regalia Departamental,Gran Chaco,11.45045481
Pando,2010,8,Ago,08-Ago,1280620800000.0,Regalia,Regalia Compensatoria,Pando,0.99933157
Cochabamba,2018,5,May,05-May,1525132800000.0,Regalia,Regalia Departamental,Cochabamba,0.95664488
Tarija,2025,3,Mar,03-Mar,1740787200000.0,Regalia,Regalia Departamental,Gran Chaco,2.76776514
TGN,2022,12,Dic,12-Dic,1669852800000.0,Participacion,Participacion TGN,TGN,17.85501286
Pando,2007,6,Jun,06-Jun,1180656000000.0,Regalia,Regalia Compensatoria,Pando,0.59493483
Tarija,2015,8,Ago,08-Ago,1438387200000.0,Regalia,Regalia Departamental,Tarija,10.95711582
Pando,2022,11,Nov,11-Nov,1667260800000.0,Regalia,Regalia Compensatoria,Pando,1.07019225
TGN,2022,10,Oct,10-Oct,1664582400000.0,Participacion,Participacion TGN,TGN,20.92325634
Tarija,2020,9,Sep,09-Sep,1598918400000.0,Regalia,Regalia Departamental,Tarija,5.77292321
IDH,2011,11,Nov,11-Nov,1320105600000.0,IDH,IDH,IDH,132.482908
TGN,2012,11,Nov,11-Nov,1351728000000.0,Participacion,Participacion TGN,TGN,31.8963707
Beni,2007,10,Oct,10-Oct,1191196800000.0,Regalia,Regalia Compensatoria,Beni,1.27536654
Chuquisaca,2021,4,Abr,04-Abr,1617235200000.0,Regalia,Regalia Departamental,Chuquisaca,3.11375509
Tarija,2021,6,Jun,06-Jun,1622505600000.0,Regalia,Regalia Departamental,Tarija,5.82429347
TGN,2020,9,Sep,09-Sep,1598918400000.0,Participacion,Participacion TGN,TGN,11.78177186
TGN,2006,7,Jul,07-Jul,1151712000000.0,Participacion,Participacion TGN,TGN,10.29925627
TGN,2024,9,Sep,09-Sep,1725148800000.0,Participacion,Participacion TGN,TGN,9.98300581
Tarija,2021,10,Oct,10-Oct,1633046400000.0,Regalia,Regalia Departamental,Tarija,7.08839474
Tarija,2024,4,Abr,04-Abr,1711929600000.0,Regalia,Regalia Departamental,Tarija,4.39793096
IDH,2010,4,Abr,04-Abr,1270080000000.0,IDH,IDH,IDH,65.316506
Tarija,2017,9,Sep,09-Sep,1504224000000.0,Regalia,Regalia Departamental,Tarija,6.75267576
IDH,2022,4,Abr,04-Abr,1648771200000.0,IDH,IDH,IDH,83.451726
Cochabamba,2018,10,Oct,10-Oct,1538352000000.0,Regalia,Regalia Departamental,Cochabamba,1.11652907
Santa Cruz,2010,12,Dic,12-Dic,1291161600000.0,Regalia,Regalia Departamental,Santa Cruz,6.19347043
Chuquisaca,2024,9,Sep,09-Sep,1725148800000.0,Regalia,Regalia Departamental,Chuquisaca,2.73837922
Tarija,2010,8,Ago,08-Ago,1280620800000.0,Regalia,Regalia Departamental,Tarija,12.50021022
Tarija,2006,6,Jun,06-Jun,1149120000000.0,Regalia,Regalia Departamental,Tarija,10.07772351
Beni,2010,5,May,05-May,1272672000000.0,Regalia,Regalia Compensatoria,Beni,1.55498302
Pando,2010,10,Oct,10-Oct,1285891200000.0,Regalia,Regalia Compensatoria,Pando,1.04454693
Cochabamba,2012,4,Abr,04-Abr,1333238400000.0,Regalia,Regalia Departamental,Cochabamba,3.79186546
TGN,2022,2,Feb,02-Feb,1643673600000.0,Participacion,Participacion TGN,TGN,13.45587346
Tarija,2020,11,Nov,11-Nov,1604188800000.0,Regalia,Regalia Departamental,Gran Chaco,4.73063325
Tarija,2008,7,Jul,07-Jul,1214870400000.0,Regalia,Regalia Departamental,Gran Chaco,
Santa Cruz,2025,12,Dic,12-Dic,1764547200000.0,Regalia,Regalia Departamental,Santa Cruz,4.38792629
Pando,2011,3,Mar,03-Mar,1298937600000.0,Regalia,Regalia Compensatoria,Pando,0.88151737
Tarija,2009,10,Oct,10-Oct,1254355200000.0,Regalia,Regalia Departamental,Gran Chaco,
Pando,2008,11,Nov,11-Nov,1225497600000.0,Regalia,Regalia Compensatoria,Pando,1.0736316
Pando,2006,4,Abr,04-Abr,1143849600000.0,Regalia,Regalia Compensatoria,Pando,0.52094041
Pando,2013,5,May,05-May,1367366400000.0,Regalia,Regalia Compensatoria,Pando,1.65245258
Pando,2015,7,Jul,07-Jul,1435708800000.0,Regalia,Regalia Compensatoria,Pando,1.57135761
Tarija,2023,1,Ene,01-Ene,1672531200000.0,Regalia,Regalia Departamental,Tarija,6.37968651
Santa Cruz,2016,10,Oct,10-Oct,1475280000000.0,Regalia,Regalia Departamental,Santa Cruz,3.73021543
Chuquisaca,2011,5,May,05-May,1304208000000.0,Regalia,Regalia Departamental,Chuquisaca,1.75000728
Chuquisaca,2013,5,May,05-May,1367366400000.0,Regalia,Regalia Departamental,Chuquisaca,5.77096548
Cochabamba,2025,1,Ene,01-Ene,1735689600000.0,Regalia,Regalia Departamental,Cochabamba,0.23399166
Tarija,2013,11,Nov,11-Nov,1383264000000.0,Regalia,Regalia Departamental,Tarija,24.37455822
Chuquisaca,2021,7,Jul,07-Jul,1625097600000.0,Regalia,Regalia Departamental,Chuquisaca,3.12637639
Chuquisaca,2015,2,Feb,02-Feb,1422748800000.0,Regalia,Regalia Departamental,Chuquisaca,4.8350653
Tarija,2006,2,Feb,02-Feb,1138752000000.0,Regalia,Regalia Departamental,Gran Chaco,
TGN,2011,1,Ene,01-Ene,1293840000000.0,Participacion,Participacion TGN,TGN,18.34183086
Tarija,2024,5,May,05-May,1714521600000.0,Regalia,Regalia Departamental,Gran Chaco,3.15468635
Tarija,2023,4,Abr,04-Abr,1680307200000.0,Regalia,Regalia Departamental,Gran Chaco,4.84345057
TGN,2022,9,Sep,09-Sep,1661990400000.0,Participacion,Participacion TGN,TGN,17.02513897
Chuquisaca,2013,9,Sep,09-Sep,1377993600000.0,Regalia,Regalia Departamental,Chuquisaca,5.64690186
TGN,2021,10,Oct,10-Oct,1633046400000.0,Participacion,Participacion TGN,TGN,14.76105228
IDH,2019,12,Dic,12-Dic,1575158400000.0,IDH,IDH,IDH,80.175937
Tarija,2020,8,Ago,08-Ago,1596240000000.0,Regalia,Regalia Departamental,Tarija,4.80643331
Beni,2006,8,Ago,08-Ago,1154390400000.0,Regalia,Regalia Compensatoria,Beni,1.20713348
Cochabamba,2008,6,Jun,06-Jun,1212278400000.0,Regalia,Regalia Departamental,Cochabamba,0.0
TGN,2010,7,Jul,07-Jul,1277942400000.0,Participacion,Participacion TGN,TGN,14.00336807
Santa Cruz,2014,1,Ene,01-Ene,1388534400000.0,Regalia,Regalia Departamental,Santa Cruz,12.79117106
IDH,2021,5,May,05-May,1619827200000.0,IDH,IDH,IDH,53.606895
Beni,2021,2,Feb,02-Feb,1612137600000.0,Regalia,Regalia Compensatoria,Beni,1.27330199
TGN,2017,7,Jul,07-Jul,1498867200000.0,Participacion,Participacion TGN,TGN,16.81610697
Tarija,2013,11,Nov,11-Nov,1383264000000.0,Regalia,Regalia Departamental,Gran Chaco,19.94282031
TGN,2025,3,Mar,03-Mar,1740787200000.0,Participacion,Participacion TGN,TGN,8.02001038
Tarija,2019,8,Ago,08-Ago,1564617600000.0,Regalia,Regalia Departamental,Tarija,6.94482324
Chuquisaca,2011,3,Mar,03-Mar,1298937600000.0,Regalia,Regalia Departamental,Chuquisaca,0.86594281
Chuquisaca,2008,4,Abr,04-Abr,1207008000000.0,Regalia,Regalia Departamental,Chuquisaca,1.63397387
Cochabamba,2017,12,Dic,12-Dic,1512086400000.0,Regalia,Regalia Departamental,Cochabamba,0.98033402
IDH,2006,1,Ene,01-Ene,1136073600000.0,IDH,IDH,IDH,49.90350541
Chuquisaca,2012,8,Ago,08-Ago,1343779200000.0,Regalia,Regalia Departamental,Chuquisaca,4.79777702
Santa Cruz,2015,2,Feb,02-Feb,1422748800000.0,Regalia,Regalia Departamental,Santa Cruz,7.66324694
Santa Cruz,2013,7,Jul,07-Jul,1372636800000.0,Regalia,Regalia Departamental,Santa Cruz,9.36722554
Chuquisaca,2022,8,Ago,08-Ago,1659312000000.0,Regalia,Regalia Departamental,Chuquisaca,3.80120047
Beni,2008,3,Mar,03-Mar,1204329600000.0,Regalia,Regalia Compensatoria,Beni,1.83377212
Santa Cruz,2019,11,Nov,11-Nov,1572566400000.0,Regalia,Regalia Departamental,Santa Cruz,9.48367643
Pando,2020,3,Mar,03-Mar,1583020800000.0,Regalia,Regalia Compensatoria,Pando,0.80046975
Pando,2016,2,Feb,02-Feb,1454284800000.0,Regalia,Regalia Compensatoria,Pando,1.22932874
Tarija,2011,11,Nov,11-Nov,1320105600000.0,Regalia,Regalia Departamental,Tarija,13.51975958
Beni,2020,11,Nov,11-Nov,1604188800000.0,Regalia,Regalia Compensatoria,Beni,1.28058012
Tarija,2013,10,Oct,10-Oct,1380585600000.0,Regalia,Regalia Departamental,Tarija,23.95416343
Santa Cruz,2012,9,Sep,09-Sep,1346457600000.0,Regalia,Regalia Departamental,Santa Cruz,11.64678254
IDH,2016,7,Jul,07-Jul,1467331200000.0,IDH,IDH,IDH,61.805999
Cochabamba,2020,9,Sep,09-Sep,1598918400000.0,Regalia,Regalia Departamental,Cochabamba,0.69673435
Cochabamba,2013,1,Ene,01-Ene,1356998400000.0,Regalia,Regalia Departamental,Cochabamba,3.24473781
Tarija,2011,7,Jul,07-Jul,1309478400000.0,Regalia,Regalia Departamental,Gran Chaco,10.87506255
Beni,2007,1,Ene,01-Ene,1167609600000.0,Regalia,Regalia Compensatoria,Beni,1.33235033
Santa Cruz,2011,2,Feb,02-Feb,1296518400000.0,Regalia,Regalia Departamental,Santa Cruz,6.13001535
Tarija,2022,1,Ene,01-Ene,1640995200000.0,Regalia,Regalia Departamental,Tarija,6.23000836
Santa Cruz,2022,11,Nov,11-Nov,1667260800000.0,Regalia,Regalia Departamental,Santa Cruz,14.54875348
Santa Cruz,2018,10,Oct,10-Oct,1538352000000.0,Regalia,Regalia Departamental,Santa Cruz,11.76151663
Pando,2010,1,Ene,01-Ene,1262304000000.0,Regalia,Regalia Compensatoria,Pando,0.68415677
Chuquisaca,2016,4,Abr,04-Abr,1459468800000.0,Regalia,Regalia Departamental,Chuquisaca,4.2099549
